[05-Jan-2017 03:58:56 UTC] PHP Notice:  Undefined variable: tablename in D:\xampp\htdocs\gsn\wp-content\themes\gsn\inc\store\register.php on line 13
[05-Jan-2017 04:02:23 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:23 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:23 UTC] PHP Notice:  wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:23 UTC] PHP Notice:  Object of class stdClass could not be converted to int in D:\xampp\htdocs\gsn\wp-content\themes\gsn\inc\store\register.php on line 91
[05-Jan-2017 04:02:27 UTC] PHP Notice:  Undefined variable: tablename in D:\xampp\htdocs\gsn\wp-content\themes\gsn\inc\store\register.php on line 13
[05-Jan-2017 04:02:27 UTC] PHP Notice:  Undefined variable: tablename in D:\xampp\htdocs\gsn\wp-content\themes\gsn\inc\store\register.php on line 13
[05-Jan-2017 04:02:27 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:27 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:27 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:27 UTC] PHP Notice:  wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:27 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:27 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:27 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:27 UTC] PHP Notice:  wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:27 UTC] PHP Notice:  Object of class stdClass could not be converted to int in D:\xampp\htdocs\gsn\wp-content\themes\gsn\inc\store\register.php on line 91
[05-Jan-2017 04:02:27 UTC] PHP Notice:  Object of class stdClass could not be converted to int in D:\xampp\htdocs\gsn\wp-content\themes\gsn\inc\store\register.php on line 91
[05-Jan-2017 04:02:40 UTC] PHP Notice:  Undefined variable: tablename in D:\xampp\htdocs\gsn\wp-content\themes\gsn\inc\store\register.php on line 13
[05-Jan-2017 04:02:41 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:41 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:41 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:41 UTC] PHP Notice:  wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:45 UTC] PHP Notice:  Undefined variable: tablename in D:\xampp\htdocs\gsn\wp-content\themes\gsn\inc\store\register.php on line 13
[05-Jan-2017 04:02:45 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:45 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:45 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:45 UTC] PHP Notice:  wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:47 UTC] PHP Notice:  Undefined variable: tablename in D:\xampp\htdocs\gsn\wp-content\themes\gsn\inc\store\register.php on line 13
[05-Jan-2017 04:02:47 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:47 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:47 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:47 UTC] PHP Notice:  wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:48 UTC] PHP Notice:  Undefined variable: tablename in D:\xampp\htdocs\gsn\wp-content\themes\gsn\inc\store\register.php on line 13
[05-Jan-2017 04:02:48 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:48 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
[05-Jan-2017 04:02:48 UTC] PHP Notice:  wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. Please see <a href="https://codex.wordpress.org/Debugging_in_WordPress">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in D:\xampp\htdocs\gsn\wp-includes\functions.php on line 4091
